big_category,small_category,score
상의,니트/스웨터,0.65
상의,후드 티셔츠,0.65
상의,맨투맨/스웨트셔츠,0.55
상의,긴소매 티셔츠,0.27
상의,셔츠/블라우스,0.27
상의,피케/카라 티셔츠,0.19
상의,반소매 티셔츠,0.15
상의,민소매 티셔츠,0.1
상의,스포츠 상의,0.17
아우터,후드 집업,0.5
아우터,블루종/MA-1,0.65
아우터,레더/라이더스 재킷,0.65
아우터,무스탕/퍼,0.9
아우터,트러커 재킷,0.35
아우터,슈트/블레이저 재킷,0.3
아우터,카디건,0.3
아우터,아노락 재킷,0.45
아우터,플리스/뽀글이,0.65
아우터,트레이닝 재킷,0.3
아우터,스타디움 재킷,0.65
아우터,환절기 코트,0.58
아우터,겨울 싱글 코트,0.75
아우터,겨울 더블 코트,0.75
아우터,겨울 기타 코트,0.75
아우터,롱패딩/롱헤비 아우터,1.2
아우터,숏패딩/숏헤비 아우터,1.0
아우터,패딩 베스트,0.5
아우터,베스트,0.25
아우터,사파리/헌팅 재킷,0.5
아우터,나일론/코치 재킷,0.3
바지,데님 팬츠,0.5
바지,코튼 팬츠,0.4
바지,슈트 팬츠/슬랙스,0.3
바지,트레이닝/조거 팬츠,0.4
바지,숏 팬츠,0.12
바지,레깅스,0.3
바지,점프 슈트/오버올,0.6
바지,스포츠 하의,0.3
스커트,미니스커트,0.16
스커트,미디스커트,0.25
스커트,롱스커트,0.3
원피스,미니스커트,0.35
원피스,미디스커트,0.45
원피스,롱스커트,0.5
스포츠/용품,상의,0.2
스포츠/용품,하의,0.3
스포츠/용품,스커트,0.25
스포츠/용품,원피스,0.4
스포츠/용품,아우터,1.0
